item,value,unit
"All gold ever, as a cube",22.2,metres on a side holds every gram ever mined
"A year of mining, as a cube",5.6,metres on a side holds a whole year of gold
Store-of-value share,52.0,percent of demand that is investment and central banks
Price in 2025,3300.0,"USD per troy ounce, a record annual average"
Price rise in 2025,38.0,percent increase in one year
